scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_low,3,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_low,4,1,5.4,10,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_high,0,1,4.8,8,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_high,1,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_high,2,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_high,3,1,3.9,5,1,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,dir_high,4,1,5.4,10,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_low,0,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_low,1,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_low,2,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_low,3,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_low,4,1,9.0,5,8,3,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_high,0,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_high,1,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_high,2,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_high,3,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,sel_high,4,1,6.3,3,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,compound_mid,0,1,6.755,6,1,1,1,0,1,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,compound_mid,1,1,4.9044,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,compound_mid,2,1,4.5905,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,compound_mid,3,1,5.1028,4,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,compound_mid,4,1,6.8351,3,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,clean,0,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,clean,1,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,clean,2,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,clean,3,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,clean,4,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_low,0,1,6.2331,22,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_low,1,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_low,2,1,6.2331,22,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_low,3,1,6.2331,22,1,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_low,4,1,8.7489,36,1,1,1,0,0,0,5,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_high,0,1,6.2331,22,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_high,1,1,8.7489,36,1,1,1,0,0,0,8,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_high,2,1,11.2647,50,1,1,1,0,0,0,12,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_high,3,1,6.2331,22,1,1,1,0,0,0,8,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,dir_high,4,1,13.1241,50,3,2,1,0,0,0,13,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_low,0,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_low,1,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_low,2,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_low,3,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_low,4,1,9.7722,15,11,3,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_high,0,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_high,1,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_high,2,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_high,3,1,6.2331,22,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,sel_high,4,1,7.3737,15,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,compound_mid,0,1,11.8668,20,1,1,1,0,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143429,s1,easy,manual,prime,compound_mid,1,1,12.9999,19,1,1,1,0,3,0,5,1,0,task_complete
