mode,condition,difficulty,n_rollouts,success_rate,mean_completion_time_sec,std_completion_time_sec,mean_total_inputs,std_total_inputs,mean_interactions,mean_dropped_inputs,mean_direction_reversals,mean_motion_tool_calls,target_filtered_out_rate,max_ticks_rate
manual,clean,easy,74,1.0,7.129,3.149,18.18,10.47,0,0,0.22,0,0,0
manual,clean,hard,86,1.0,6.2,3.307,19.85,15.16,0,0,0.07,0,0,0
prime,clean,easy,74,0.6892,11.504,9.438,17.8,10.74,316.3,0,0.16,0.08,1,0.3108
prime,clean,hard,86,0.5116,22.556,22.627,20.95,18.13,454.28,0,0.07,61.08,1,0.4884
