model_safe,model_display,env,perturbation,noise_level,n,tool_acc,strict_match,motion_obj_acc,elapsed_s
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),ycb,user_input,0.50,300,88.33,75.67,30.77,327.1
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),stacking,user_input,0.00,300,79.67,49.00,76.47,271.0
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),stacking,user_input,0.10,300,80.33,49.33,76.47,273.2
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),stacking,user_input,0.20,300,80.00,49.33,76.47,272.1
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),stacking,user_input,0.30,300,80.00,49.00,76.47,270.1
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),stacking,user_input,0.50,300,79.00,49.33,70.59,272.7
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),pouring,user_input,0.00,300,82.33,41.00,46.67,283.7
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),pouring,user_input,0.10,300,80.67,40.67,46.67,278.9
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),pouring,user_input,0.20,300,81.33,42.00,46.67,281.3
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),pouring,user_input,0.30,300,81.00,41.00,46.67,280.7
oracle_ycb,Qwen2.5-3B-Oracle-LoRA (YCB only),pouring,user_input,0.50,300,81.00,41.00,60.00,278.9
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),ycb,user_input,0.00,300,93.00,65.00,19.23,333.5
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),ycb,user_input,0.10,300,93.00,65.33,19.23,332.0
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),ycb,user_input,0.20,300,93.00,62.67,19.23,330.0
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),ycb,user_input,0.30,300,92.33,63.67,15.38,334.0
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),ycb,user_input,0.50,300,93.33,64.67,23.08,331.8
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),stacking,user_input,0.00,300,88.33,71.33,64.71,298.6
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),stacking,user_input,0.10,300,87.33,70.33,52.94,302.4
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),stacking,user_input,0.20,300,88.33,70.33,70.59,298.2
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),stacking,user_input,0.30,300,87.00,70.00,35.29,302.0
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),stacking,user_input,0.50,300,87.33,70.00,58.82,298.8
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),pouring,user_input,0.00,300,89.67,49.00,20.00,289.6
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),pouring,user_input,0.10,300,90.00,49.33,20.00,289.4
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),pouring,user_input,0.20,300,89.33,49.67,13.33,289.1
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),pouring,user_input,0.30,300,89.67,50.00,20.00,286.4
oracle_stacking,Qwen2.5-3B-Oracle-LoRA (Stack only),pouring,user_input,0.50,300,89.67,47.67,13.33,286.7
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),ycb,user_input,0.00,300,96.00,38.33,73.08,302.2
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),ycb,user_input,0.10,300,96.00,39.00,76.92,299.9
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),ycb,user_input,0.20,300,95.33,38.00,73.08,297.3
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),ycb,user_input,0.30,300,95.00,37.67,73.08,299.6
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),ycb,user_input,0.50,300,96.00,37.00,73.08,302.9
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),stacking,user_input,0.00,300,89.00,55.00,82.35,276.7
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),stacking,user_input,0.10,300,88.33,54.67,70.59,278.0
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),stacking,user_input,0.20,300,88.67,55.00,82.35,274.7
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),stacking,user_input,0.30,300,87.00,53.00,64.71,274.6
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),stacking,user_input,0.50,300,86.67,51.67,76.47,273.5
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),pouring,user_input,0.00,300,93.00,87.33,86.67,280.6
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),pouring,user_input,0.10,300,93.00,87.00,86.67,282.6
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),pouring,user_input,0.20,300,92.67,87.00,80.00,281.5
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),pouring,user_input,0.30,300,93.00,87.00,86.67,282.9
oracle_pouring,Qwen2.5-3B-Oracle-LoRA (Pour only),pouring,user_input,0.50,300,92.67,84.67,80.00,281.1
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.00,300,86.33,14.00,19.23,209.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.10,300,87.00,14.00,19.23,209.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.20,300,87.33,13.67,19.23,208.5
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.30,300,87.00,14.00,23.08,207.2
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.50,300,88.67,14.00,19.23,209.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.00,300,72.00,20.67,5.88,153.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.10,300,71.67,20.00,5.88,154.1
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.20,300,71.00,18.33,0.00,155.1
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.30,300,72.67,19.67,0.00,155.6
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.50,300,71.00,19.00,0.00,153.0
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.00,300,76.33,12.67,0.00,168.0
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.10,300,76.00,12.67,0.00,167.2
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.20,300,76.67,12.33,0.00,166.6
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.30,300,75.67,13.33,6.67,167.3
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.50,300,76.33,14.00,0.00,169.7
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.00,300,94.33,29.00,61.54,220.0
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.10,300,94.00,28.33,61.54,219.1
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.20,300,94.67,29.33,61.54,220.0
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.30,300,94.00,29.00,65.38,220.7
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.50,300,94.33,29.33,61.54,221.4
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.00,300,95.00,57.33,29.41,189.0
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.10,300,94.67,57.33,29.41,190.4
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.20,300,94.00,56.67,23.53,189.1
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.30,300,94.67,56.67,17.65,189.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.50,300,95.00,56.33,35.29,190.2
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.00,300,92.67,53.67,60.00,177.6
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.10,300,93.33,55.33,60.00,177.0
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.20,300,92.33,53.00,53.33,177.7
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.30,300,92.33,51.67,53.33,177.4
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.50,300,91.67,53.00,60.00,178.8
